Index,Country,Eigenvector Centrality Difference
Vizhinjam,India,5.9274954205045926e-05
Shuwaikh,Kuwait,5.869590289161899e-05
Teesport,U.K.,5.849836315714003e-05
Walvis Bay,Namibia,5.6703363189015716e-05
"Freeport, Grand Bahama",Bahamas,5.4834743788531874e-05
Liverpool,Canada,5.461281698238528e-05
Port Victoria,Seychelles,5.4062941998212735e-05
Ruwais Port,United Arab Emirates,5.4051645661829504e-05
Limassol,Cyprus,5.374152207079778e-05
Zhanjiang Port,China,5.373505512594435e-05
Philadelphia,U.S.A.,5.214261834807145e-05
Baltimore,Republic of Ireland,5.127049173643018e-05
"Labuan, Sabah",Malaysia,5.071161097535597e-05
Suape,Brazil,4.9186868413971375e-05
Thessaloniki,Greece,4.9049584399339695e-05
Malaga,Spain,4.847133540081922e-05
Navegantes,Brazil,4.819497748447161e-05
Civitavecchia,Italy,4.3473116573534824e-05
Songkhla,Thailand,4.311580423725235e-05
Hull,U.K.,4.234676294746916e-05
Salerno,Italy,4.190922809614746e-05
Port Everglades,U.S.A.,4.1699392648974175e-05
Helsingborg,Sweden,4.133614180276354e-05
Gemlik,Turkiye,4.127160995488733e-05
New Mangalore,India,3.939182147767858e-05
Pengerang,Malaysia,3.796332839576101e-05
Lisbon,Portugal,3.7140739814535005e-05
Port de Fort-de-France,Martinique,3.695745378821144e-05
Rio Grande,Brazil,3.6772989475329166e-05
Moerdijk,Netherlands,3.641713453160207e-05
Boston,U.S.A.,3.631222451695151e-05
Miami,U.S.A.,3.575784262686995e-05
Makassar,Indonesia,3.533901528637244e-05
Muuga,Estonia,3.4992187537381694e-05
Aarhus,Denmark,3.472907146164606e-05
Ajman,United Arab Emirates,3.375302348436124e-05
Bilbao,Spain,3.3737746424027885e-05
Bronka Port,Russia,3.351687501794404e-05
Riga,Latvia,3.2708679503287946e-05
Buenos Aires,Argentina,3.067297031128844e-05
"Pontianak, Kalimantan",Indonesia,3.0252269788231016e-05
Port Rashid,United Arab Emirates,2.9418056483185447e-05
"Tawau, Sabah",Malaysia,2.8942204546023574e-05
Trieste,Italy,2.887890981879244e-05
Abu Kir,Egypt,2.839845113959043e-05
Aden,Yemen,2.8309461861944485e-05
Iskenderun,Turkiye,2.819818287746166e-05
Izmir,Turkiye,2.8068381376201957e-05
Freetown,Sierra Leone,2.7318210078472113e-05
Umm Sa'id (Mesaieed),Qatar,2.663024808435404e-05
Belfast,U.K.,2.634614226664899e-05
Duqm,Oman,2.6172203275526436e-05
Kualatanjung,Indonesia,2.5719941246263225e-05
Pelabuhan Futong Terminal,Indonesia,2.5599503204658508e-05
Qui Nhon,Vietnam,2.530657952245748e-05
Alger (Algiers),Algeria,2.501963953641524e-05
Grangemouth,U.K.,2.4251803049855707e-05
Reykjavik,Iceland,2.3358617454769784e-05
Jacksonville,U.S.A.,2.2434245234432746e-05
Nouakchott,Mauritania,2.2419958272177596e-05
Sagunto,Spain,2.2210825553316998e-05
Conakry,Guinea,2.1489460531789648e-05
"Sungai Pakning, Sumatra",Indonesia,2.0419120154090923e-05
Toamasina,Madagascar,1.988514603400263e-05
Muar,Malaysia,1.9822307807772395e-05
Mogadishu,Somali Republic,1.936239946068077e-05
Cork,Republic of Ireland,1.8988061606030717e-05
Berbera,Somali Republic,1.8909503942984434e-05
Risavika,Norway,1.8288670667211286e-05
"Wilmington, NC",U.S.A.,1.809971327547215e-05
Port Sudan,Sudan,1.8069174525643943e-05
Luanda,Angola,1.7841001439889028e-05
Moss,Norway,1.758385351793146e-05
Fredericia,Denmark,1.7386417788127674e-05
Evyap Port /Kocaeli,Turkiye,1.722060724841239e-05
Cuxhaven,Germany,1.7168634429567172e-05
Pecem Port,Brazil,1.7043006850698265e-05
Immingham,U.K.,1.703328725010349e-05
Altamira,Brazil,1.6506228888117045e-05
"Palembang, Sumatra",Indonesia,1.615393953110166e-05
"Sandakan, Sabah",Malaysia,1.6056761277946874e-05
Rauma (Raumo),Finland,1.560685708748425e-05
Amsterdam,Netherlands,1.5323426711051044e-05
Tripoli,Lebanon,1.5090273863509554e-05
Mongla,Bangladesh,1.5039539279909956e-05
Norrkoping,Sweden,1.4653790033295738e-05
Balikpapan,Indonesia,1.4650853164710541e-05
Opatija,Croatia,1.4562875279910048e-05
Onne,Nigeria,1.3980952838205443e-05
Hambantota,Sri Lanka,1.3958390136145399e-05
General Santos,Philippines,1.3644387848739826e-05
Male,Maldives,1.3401837000220316e-05
Castellon de la Plana,Spain,1.3385528161920918e-05
"Sibu, Sarawak",Malaysia,1.3312349234233055e-05
Constanta,Romania,1.2792073137689666e-05
Setubal,Portugal,1.2589060684608107e-05
Batu Ampal,Indonesia,1.2573980562143652e-05
Oran Dry Port,Algeria,1.2560455262294011e-05
Kingston,U.S.A.,1.24954201686791e-05
Saint-John,Canada,1.2321369223699906e-05
Cadiz,Spain,1.2313660086217526e-05
Santa Cruz de Tenerife,Spain,1.1856960986399617e-05
